timestamp,Qx_sensor1,Qy_sensor1,Qz_sensor1,Qw_sensor1,Heading_sensor1,Pitch_sensor1,Roll_sensor1,accx,accy,accz,gx,gy,gz,Vbat
257.764892578125,0.6571265459060669,-0.45170456171035767,0.4843909740447998,0.3598792850971222,21.0,-74.09776306152344,-63.40652084350586,-0.9614259004592896,-0.2495117485523224,0.1245117336511612,0.152587890625,0.0,-0.152587890625,3.447783946990967
257.817626953125,0.6572914123535156,-0.4514782428741455,0.48444321751594543,0.35979199409484863,22.0,-74.094970703125,-63.33949279785156,-0.9570313692092896,-0.2524414360523224,0.1225586086511612,0.30517578125,-0.152587890625,0.0,3.447783946990967
257.8707580566406,0.6575320959091187,-0.4513515830039978,0.48438209295272827,0.3595932424068451,22.0,-74.07036590576172,-63.30165100097656,-0.9550782442092896,-0.2553711235523224,0.1230468899011612,0.0,0.0,0.0,3.447783946990967
257.9247741699219,0.6575191617012024,-0.4512709379196167,0.4844931662082672,0.35956865549087524,22.0,-74.08151245117188,-63.298316955566406,-0.9589844942092896,-0.2568359673023224,0.1250000149011612,-0.152587890625,0.0,0.0,3.447783946990967
257.977783203125,0.6573730707168579,-0.45142072439193726,0.4844414293766022,0.3597172796726227,22.0,-74.08826446533203,-63.3261833190918,-0.9565430879592896,-0.2534179985523224,0.1215820461511612,-0.457763671875,0.0,0.0,3.4475839138031006
258.0311584472656,0.6575141549110413,-0.45128652453422546,0.4843366742134094,0.3597687780857086,22.0,-74.07758331298828,-63.24089050292969,-0.9565430879592896,-0.2519531548023224,0.1186523586511612,-0.152587890625,0.0,0.30517578125,3.447483777999878
258.0839538574219,0.6573435068130493,-0.45096176862716675,0.4846896827220917,0.3600124418735504,22.0,-74.13719177246094,-63.15815353393555,-0.9541016817092896,-0.2500000298023224,0.1166992336511612,0.0,-0.30517578125,0.91552734375,3.4478840827941895
258.1374206542969,0.6573266386985779,-0.4509282410144806,0.4846787452697754,0.3600998520851135,22.0,-74.14221954345703,-63.12998962402344,-0.9594727754592896,-0.2441406548023224,0.1289062649011612,-0.762939453125,0.0,-0.457763671875,3.447783946990967
258.1907653808594,0.6569715738296509,-0.4511268436908722,0.48472216725349426,0.3604404330253601,22.0,-74.17647552490234,-63.1729736328125,-0.9614259004592896,-0.2416992485523224,0.1303711086511612,0.0,0.152587890625,-0.457763671875,3.447783946990967
258.2441711425781,0.6569842100143433,-0.45130762457847595,0.48465317487716675,0.3602840006351471,22.0,-74.15772247314453,-63.25166702270508,-0.9580079317092896,-0.2421875298023224,0.1279297024011612,0.30517578125,0.30517578125,-0.762939453125,3.4476840496063232
258.296875,0.6571477055549622,-0.4511873424053192,0.4846900403499603,0.36008694767951965,22.0,-74.14564514160156,-63.23890686035156,-0.9584962129592896,-0.2583008110523224,0.1318359524011612,0.30517578125,0.30517578125,-0.6103515625,3.4476840496063232
258.35028076171875,0.6573770046234131,-0.4507821798324585,0.48498499393463135,0.3597784638404846,22.0,-74.15406799316406,-63.18657684326172,-0.9497071504592896,-0.2685547173023224,0.1176757961511612,0.152587890625,0.0,0.0,3.4476840496063232
258.4037170410156,0.6571897268295288,-0.451100617647171,0.4850466847419739,0.3596383333206177,21.0,-74.1545181274414,-63.34886169433594,-0.9584962129592896,-0.2612304985523224,0.1240234524011612,-0.91552734375,0.0,0.30517578125,3.447783946990967
258.4570007324219,0.6569647789001465,-0.4512326717376709,0.48506924510002136,0.35985293984413147,21.0,-74.17552185058594,-63.377933502197266,-0.9555665254592896,-0.2563476860523224,0.1269531399011612,-1.220703125,0.152587890625,0.457763671875,3.447783946990967
258.51007080078125,0.6564863920211792,-0.45161721110343933,0.4850448966026306,0.3602764904499054,21.0,-74.20987701416016,-63.4694938659668,-0.9594727754592896,-0.2529297173023224,0.1250000149011612,-0.762939453125,0.0,0.91552734375,3.447783946990967
258.56396484375,0.6564028859138489,-0.4514090120792389,0.4851231575012207,0.3605839014053345,22.0,-74.2413330078125,-63.36091995239258,-0.9594727754592896,-0.2431640923023224,0.1176757961511612,-0.6103515625,0.457763671875,0.457763671875,3.4476840496063232
258.6168518066406,0.6562566757202148,-0.4513593316078186,0.4853052496910095,0.36066699028015137,22.0,-74.27011108398438,-63.371986389160156,-0.9555665254592896,-0.2500000298023224,0.1210937649011612,0.762939453125,0.0,0.762939453125,3.4475839138031006
258.6703796386719,0.6561532020568848,-0.45102623105049133,0.4858018159866333,0.36060377955436707,21.0,-74.32386779785156,-63.36217498779297,-0.9619141817092896,-0.2470703423023224,0.1225586086511612,0.6103515625,0.30517578125,0.0,3.4473836421966553
258.72296142578125,0.6561457514762878,-0.45058363676071167,0.48626023530960083,0.3605528473854065,22.0,-74.3725357055664,-63.29703903198242,-0.9594727754592896,-0.2519531548023224,0.1220703274011612,1.373291015625,0.0,0.457763671875,3.4473836421966553
258.7762145996094,0.6562426090240479,-0.4503587782382965,0.4864853024482727,0.3603537380695343,21.0,-74.38278198242188,-63.28639602661133,-0.9555665254592896,-0.2500000298023224,0.1196289211511612,0.152587890625,0.457763671875,0.152587890625,3.4473836421966553
258.8290710449219,0.6559447646141052,-0.45079079270362854,0.4866594076156616,0.3601205050945282,21.0,-74.3912353515625,-63.537269592285156,-0.9619141817092896,-0.2490234673023224,0.1206054836511612,-0.6103515625,0.30517578125,-0.6103515625,3.4473836421966553
258.8826904296875,0.6557818055152893,-0.45127442479133606,0.486508309841156,0.3600156605243683,21.0,-74.36929321289062,-63.71356964111328,-0.9580079317092896,-0.2485351860523224,0.1196289211511612,-0.457763671875,0.0,-0.457763671875,3.4472835063934326
